iter	RMSE
0	6.585395586
1	6.378705918
2	6.202315759
3	6.045052183
4	5.874795464
5	5.712036028
6	5.556822385
7	5.408811688
8	5.269051287
9	5.139149396
10	5.025644302
11	4.905069009
12	4.804074731
13	4.697292507
14	4.600919195
15	4.507852097
16	4.416912342
17	4.337724922
18	4.255310631
19	4.182662628
20	4.112229446
21	4.041966047
22	3.972408862
23	3.911002875
24	3.849934393
25	3.796053124
26	3.736850602
27	3.690462607
28	3.643360871
29	3.600365193
30	3.554405746
31	3.51503574
32	3.478698123
33	3.438046561
34	3.400458684
35	3.360459968
36	3.324838499
37	3.295092877
38	3.266458405
39	3.2369207
40	3.207165347
41	3.176251292
42	3.146070487
43	3.126648577
44	3.102460729
45	3.082035389
46	3.061996169
47	3.042277555
48	3.020938049
49	2.997097805
50	2.980514456
51	2.96263197
52	2.944505742
53	2.929306379
54	2.909763228
55	2.89013267
56	2.877506975
57	2.863096479
58	2.846500765
59	2.830449008
60	2.8168983
61	2.803679323
62	2.791479434
63	2.777700964
64	2.768555741
65	2.756633335
66	2.743133858
67	2.733004599
68	2.722199065
69	2.713036278
70	2.703478432
71	2.694359681
72	2.685038432
73	2.675122071
74	2.665601172
75	2.656565022
76	2.648943867
77	2.640094647
78	2.63363414
79	2.627482848
80	2.620280721
81	2.613719248
82	2.604900099
83	2.596325319
84	2.590043824
85	2.583806089
86	2.57835905
87	2.571794802
88	2.564277046
89	2.558201674
90	2.551739418
91	2.546335065
92	2.539997347
93	2.534206341
94	2.527327374
95	2.5207525
96	2.515001343
97	2.510373957
98	2.504046715
99	2.498969446
100	2.493159733
101	2.488247351
102	2.482612849
103	2.477079132
104	2.473162182
105	2.469072856
106	2.464296106
107	2.460337715
108	2.45536091
109	2.450153271
110	2.445672803
111	2.441828828
112	2.43729485
113	2.433613177
114	2.430242079
115	2.425721639
116	2.42193942
117	2.418522682
118	2.414455421
119	2.410005839
120	2.406350078
121	2.402252986
122	2.398448014
123	2.394506461
124	2.391664684
125	2.387938603
126	2.384445405
127	2.380964211
128	2.377596007
129	2.374390951
130	2.37134688
131	2.368762934
132	2.36594078
133	2.362410878
134	2.359698919
135	2.355272037
136	2.352236409
137	2.34938192
138	2.346163562
139	2.343621288
140	2.340182881
141	2.336903198
142	2.333862864
143	2.331517877
144	2.328175225
145	2.324438663
146	2.322473579
147	2.320554078
148	2.31695017
149	2.31440594
150	2.311025321
151	2.308709645
152	2.304698985
153	2.301419207
154	2.298328328
155	2.295834575
156	2.293316761
157	2.290693001
158	2.287407085
159	2.284949093
160	2.282176892
161	2.279031718
162	2.27666518
163	2.273847455
164	2.270496227
165	2.267226591
166	2.26516244
167	2.262530895
168	2.259597182
169	2.257432278
170	2.254644498
171	2.251755006
172	2.248673622
173	2.246616899
174	2.244418782
175	2.24195874
176	2.240060682
177	2.236677508
178	2.232626368
179	2.230670013
180	2.228607163
181	2.225235129
182	2.222737136
183	2.219802151
184	2.217394664
185	2.214706359
186	2.212438037
187	2.209970697
188	2.20784828
189	2.204608484
190	2.203213003
191	2.201234415
192	2.199792745
193	2.197904991
194	2.195497722
195	2.191811731
196	2.188300921
197	2.186417079
198	2.183703017
199	2.181824117
200	2.179385934
201	2.176574199
202	2.173474461
203	2.170608653
204	2.16886882
205	2.166716296
206	2.164923051
207	2.163181362
208	2.161445927
209	2.159845456
210	2.156987386
211	2.154051646
212	2.150600391
213	2.148000655
214	2.146371996
215	2.144458861
216	2.141399351
217	2.139811896
218	2.137424558
219	2.135841462
220	2.133464739
221	2.13231635
222	2.129727846
223	2.128483061
224	2.126277379
225	2.122312423
226	2.119021617
227	2.116404067
228	2.113736836
229	2.111660515
230	2.10950064
231	2.107449824
232	2.105363872
233	2.102678734
234	2.100604524
235	2.098320821
236	2.095931425
237	2.092778196
238	2.090573923
239	2.088735906
240	2.087874855
241	2.086141546
242	2.083872446
243	2.08202462
244	2.08103773
245	2.078485775
246	2.076137456
247	2.073500853
248	2.071252909
249	2.06835623
250	2.067200968
251	2.065768781
