iter	Passed	Remaining
0	62	31233
1	64	15993
2	65	10909
3	67	8366
4	69	6834
5	70	5812
6	72	5084
7	73	4533
8	75	4107
9	77	3781
10	78	3510
11	80	3256
12	81	3051
13	82	2872
14	83	2710
15	85	2576
16	86	2455
17	87	2345
18	88	2244
19	89	2149
20	90	2065
21	91	1987
22	92	1916
23	93	1850
24	94	1790
25	95	1735
26	96	1684
27	97	1637
28	98	1593
29	99	1552
30	100	1513
31	101	1478
32	102	1444
33	103	1412
34	103	1381
35	104	1351
36	105	1324
37	106	1299
38	107	1274
39	108	1251
40	109	1227
41	110	1205
42	111	1185
43	112	1166
44	113	1146
45	114	1127
46	115	1115
47	116	1098
48	117	1082
49	118	1067
50	119	1053
51	120	1039
52	121	1028
53	123	1018
54	124	1007
55	125	994
56	126	983
57	127	972
58	128	961
59	129	950
60	130	940
61	131	930
62	132	920
63	133	910
64	134	901
65	135	892
66	136	884
67	137	875
68	138	867
69	139	859
70	140	851
71	141	843
72	142	835
73	143	828
74	144	820
75	145	813
76	146	806
77	147	800
78	149	794
79	149	787
80	150	781
81	151	774
82	152	768
83	153	762
84	154	756
85	155	750
86	156	744
87	157	738
88	158	733
89	159	728
90	160	722
91	161	718
92	162	713
93	163	708
94	164	702
95	165	698
96	166	693
97	167	688
98	168	682
99	169	677
100	170	672
101	171	667
102	171	662
103	172	658
104	173	653
105	174	648
106	175	644
107	176	639
108	177	635
109	178	631
110	178	626
111	179	622
112	180	618
113	181	614
114	182	610
115	183	606
116	183	602
117	184	598
118	185	594
119	186	590
120	187	586
121	188	582
122	188	579
123	189	575
124	190	571
125	191	568
126	192	564
127	193	561
128	193	557
129	194	554
130	195	550
131	196	547
132	197	544
133	198	541
134	199	538
135	199	535
136	200	532
137	201	528
138	202	525
139	203	522
140	204	519
141	205	516
142	205	514
143	206	511
144	207	508
145	208	505
146	209	502
147	210	499
148	210	496
149	211	494
150	212	491
151	213	488
152	214	486
153	215	483
154	216	480
155	216	478
156	217	475
157	218	473
158	219	470
159	220	468
160	221	465
161	221	463
162	222	460
163	223	458
164	224	456
165	225	453
166	226	451
167	227	448
168	227	446
169	228	444
170	229	442
171	231	440
172	231	438
173	232	436
174	233	433
175	234	431
176	235	429
177	236	427
178	237	425
179	237	422
180	238	420
181	239	418
182	240	416
183	241	414
184	242	412
185	243	410
186	243	408
187	244	406
188	245	404
189	246	402
190	247	399
191	248	398
192	249	396
193	250	394
194	250	392
195	251	390
196	252	388
197	253	386
198	254	384
199	255	382
200	255	380
201	256	378
202	257	377
203	258	375
204	259	373
205	260	371
206	261	369
207	261	367
208	262	365
209	263	364
210	264	362
211	265	360
212	266	358
213	266	356
214	267	354
215	268	353
216	269	351
217	270	349
218	271	347
219	272	346
220	272	344
221	273	342
222	274	341
223	275	339
224	276	337
225	277	336
226	278	334
227	278	332
228	279	330
229	280	329
230	281	327
231	282	326
232	283	324
233	284	322
234	284	321
235	285	319
236	286	318
237	287	316
238	288	314
239	289	313
240	290	311
241	290	310
242	291	308
243	292	306
244	293	305
245	294	303
246	295	302
247	295	300
248	296	299
249	297	297
250	298	296
251	299	294
